id,category,n_src_words,n_tgt_words,ratio,bhb,mar,eng
ad159cf735f544a081e885f7d907c053,general,6,17,2.833,किरकोळ खरेदी केया खातर शांतपणे पाळता.,"थोडीशी किरकोळ खरेदी उपचार म्हणून चांगली असली, तरी तुमच्या खरेदीच्या सवयी संयतपणे पाळल्या जात असल्याची खात्री करा.","While a little bit of retail therapy is fine, make sure that your shopping habits are practiced in moderation."
869538e59af343c49bbef382a2b0702a,general,6,17,2.833,वेचाततो लेनो केएता किमत फुचू पडे,"माहितगाराप्रमाणे खरेदी करण्यासाठी, तुम्ही खरेदी करण्याचा विचार करत असलेल्या पूल टेबलबद्दल तुम्हाला काही विशिष्ट प्रश्न विचारावेसे वाटतील.","To make an informed purchase, you'll want to ask some specific questions about the pool table you are thinking about buying."
695b6d94-02d9-4f95-9f11-a18755560fea,krishi_darshani,30,85,2.833,"सोयाबिन प्रक्रियाः सोयाबीनमध्ये पोषक अन्नघटक, आरोग्यदायी व औषधी गुणधर्म असल्याने त्याचा औद्योगिक वापर वाढतो आहे. चांगल्या गुणवत्तेच्या प्रथिनांशिवाय सोयाबीन हा ग्लायसिन, ट्रिप्टोफॅन व लायसीन या अत्यावश्यक असलेल्या अमिनो ऍसिडसचा महत्त्वाचा","सोयाबिन प्रक्रियाः सोयाबीनमध्ये पोषक अन्नघटक, आरोग्यदायी व औषधी गुणधर्म असल्याने त्याचा औद्योगिक वापर वाढतो आहे. चांगल्या गुणवत्तेच्या प्रथिनांशिवाय सोयाबीन हा ग्लायसिन, ट्रिप्टोफॅन व लायसीन या अत्यावश्यक असलेल्या अमिनो ऍसिडसचा महत्त्वाचा स्त्रोत आहे. तसेच यामध्ये आवश्यक फॅटी ऍसिडचे प्रमाण भरपूर आहे. सोयाबीन तेल कोलेस्टेरॉल मुक्त असून त्यात ओमेगा तीन व सहा फॅटी ऍसिडचा अंतर्भाव आहे. सोयाबीनपासून दूध, दही, पनिर, पापड, टोफु, सोयापापड, सोयालाडू, शेवया तसेच स्नॅक्स व सोयासॉस, सोया पीठ, सारखे पदार्थ घरगुती तेल, प्रथिने, पशुखाद्य अन्न व औषध कारखाने किंवा लघु उद्योगात तयार करता येतात.","Soybean Processing: Soybeans have a growing industrial use due to their nutritional, health, and medicinal properties. In addition to high-quality protein, soybeans are an important source of essential amino acids such as glycine, tryptophan, and lysine. They are also rich in essential fatty acids. Soybean oil is cholesterol-free and contains omega-3 and omega-6 fatty acids. Soybeans can be processed into a variety of products, including milk, yogurt, paneer, papad, tofu, soy papad, soy laddu, vermicelli, as well as snacks and sauces like soy sauce and soy flour. These products can be manufactured in home oil, protein, animal feed, and pharmaceutical factories or small-scale industries."
b07d6444289349d89f2f4e36ada3a0cf,general,9,26,2.889,रोज दावाखानूम पोयसा दा पेक्षा आपू तब्येत हारी थोवूंला,"वैद्यकीय उपचारांचा खर्च सतत वाढत असल्यामुळे, ह्या क्षेत्रातील तुमची देयके कमी करण्यासाठी, तुमच्या आरोग्याचा बळी न देता तुम्ही जे काही करू शकाल ती कल्पना चांगली आहे.","With the cost of medical treatment increasing all the time, anything you can do to reduce your bills in this area without sacrificing your health is a good idea."
7277ba73-3dc7-4a55-a871-b3585b842ae5,krishi_darshani,38,111,2.921,सोयाबीन इ विदर्भामध्ये मुख्य पीक आंही या वेगवेगळ्या प्रयोगशाला काम सुरू आंही मुख्यत्वे कीने हिंग्या ने पोरावला पोषण गुण तत्व योग्य वाणू निर्मिती केरुला या विषाणू पे संशोधन सुरू आंही त्याचप्रमाणे भरड पिकू भविष्या ने महत्त्व लक्षामेइ लिहिता,"सोयाबीन हे विदर्भातील महत्वाचे पीक असून, याच्या विविध पैलूंवर प्रयोगशाळेत काम सुरू आहे. यामध्ये मुख्यत्वे करून शेंगा न धरणे, पोषण गुणवत्ता योग्य वाणाची निर्मिती करणे या विषयांवर संशोधन सुरू आहे. त्याचप्रमाणे भरड पिकांचे भविष्यातील महत्व लक्षात घेता त्यातली पोषण गुणवत्ता व उत्पादकता वाढविण्याचे संशोधन सुरू आहे. तसेच, नॅनो टेक्नॉलॉजीच्या सहाय्याने जैव किटकनाशकांची अतिनिल किरणांमुळे होणाऱ्या प्रभावावरील दुष्परिणाम टाळून त्याची प्रभाव कायम ठेवण्याचे संशोधन सुरू आहे. जैवतंत्रज्ञान केंद्राअंतर्गत निरनिराळ्या एकूण पाच अद्यावत प्रयोगशाळा असून, विदर्भाची प्रादेशिक गरज लक्षात घेता येथील प्रमुख पिकांवर संशोधनाचे काम सुरू आहे. यामध्ये तूर पिकावरील शेंगा पोखरणारी अळी, कापूस पिकामध्ये बोंडअळी, सोयाबीन पिकावरील नो-पोडींग सिन्ड्रोम, अशा विविधांगी विषयावर जैवतंत्रज्ञानाच्या माध्यमातून प्रतिकारक्षम जनूक प्रवेशीत पिकांची निर्मितीचे काम सुरू आहे.","Soybean is a significant crop in Vidarbha, and research is underway in various aspects of its cultivation in laboratories. This research primarily focuses on developing varieties that do not produce pods and improving their nutritional quality. Similarly, considering the future importance of coarse crops, research is being conducted to enhance their nutritional quality and productivity. Additionally, research is being carried out to utilize nanotechnology to prevent the adverse effects of bio-pesticides due to ultraviolet radiation, while maintaining their effectiveness. Under the Biotechnology Center, there are a total of five modern laboratories, and research is being conducted on major crops in Vidarbha, keeping in mind the regional needs. This includes research on various aspects such as the pod-infesting caterpillar in the cotton crop, the bollworm in the soybean crop, and no-lodging syndrome in the soybean crop. Research is being done to create crops with resistant genes through biotechnology."
d9ef7072-aadf-4ad4-8887-9b78d01cc1cb,krishi_darshani,12,36,3.0,५) शिंगकोळी नाश केरुलो : वासडों २ ते ३ आठवुडा रेहे ताहांज.,५) शिंगकळीचा नाश करणे : वासरे २ ते ३ आठवड्याची असताना. ६) दुधाळ जनावरांना भाकड करणे : जनावर व्याल्याच्या अगोदर २ महिने ७) भाकड व गाभण गायीची व्यवस्था : भाकड गायी व गाभण गायी वेगवेगळ्या बांधाव्या.,5) Destruction of horns: When the calves are 2 to 3 weeks old. 6) Weaning of milk animals: 2 months before the animal is pregnant. 7) Management of pregnant and lactating cows: Pregnant cows and lactating cows should be kept separately.
2e09d27759c9436ba08265a2af871892,general,7,21,3.0,कृष्णाल योशदा माताय देडलो विजो नाव हाय,"हे कृष्ण या हिंदू देवाला दिलेले आणखी एक नाव आहे, कारण त्याच्या पालनपोषणकर्त्या आईने, यशोदेने त्याला एका मोठ्या रांजणाला बांधले होते.","This is another name for the Hindu god Krishna, as he was suckled by his foster-mother Yashoda in a large urn."
08d7191367dd4b5184890525aaaf92d5,general,9,28,3.111,"उदाहरणार्थ,तुमा सारखो भाग लांभाश व्यवस्था केराहाटी मध्यस्थी रेणारो,तुमा भाडेकरारूपे","याच्या उदाहरणांमध्ये, तुमच्या समभाग लाभांशाचे व्यवस्थापन करण्यासाठी दलाल असणे, तुमच्या भाडेकरारावर दिलेल्या मालमत्तांच्या देखरेखीसाठी जमीनपालक नेमणे, किंवा तुमच्या संकेतस्थळावर मजकूर लिहिण्यासाठी इतर ब्लॉगर्सना कामावर घेणे यांचा समावेश आहे.","Examples of this include having a broker manage your dividend stocks, hiring a landlord to oversee your rental properties, or hiring other bloggers to write content for your website."
db273034-9a98-4a8a-8149-e61f691f2a47,krishi_darshani,69,217,3.145,आपु देशाम जेहें तेहें वातावरणाम जुदो जुदो पणा वेरा मिलेहे तियाल जैविक बी जुदोजुदो पणा मोठा प्रमाणाम मिलहे ई आपु देशाल एक वोरदानुज हाय एहकी आखा पोडे आणे तिया खातोर जुदाजुदा ठिकाणाहाम जुदाजुदा प्रकारा जंगली वनस्पती वादी रीयहा तियाल हा-या प्रकारा वनस्पती आपु हिं हाय.इया आखी गोठीही फायदा लीन जुदा जुदा दोवाई वनस्पतीही माहिती लीन त्या लागवड केई ता उत्पादनाम शेतकऱ्यांहा जीवोनमान वादनुम हाथ भार लागी आने मदत वेनारी.,"आपल्या देशामध्ये ठिकठिकाणच्या वातावरणामध्ये विविधता आढळत असल्याने जैविक विविधता सुद्धा मोठ्या प्रमाणात आढळते हे आपल्या देशाला एक वरदानच आहे असे म्हणावे लागेल त्यामुळे देशाच्या विविध ठिकाणी विविध प्रकारच्या जंगली वनस्पती वाढत असल्याने चांगल्या प्रकारच्या वनस्पती आपल्याकडे आहेत. या सर्व गोष्टींचा फायदा घेवून विविध औषधी वनस्पतींबद्दल माहिती घेवून त्याची लागवड केल्यास उत्पादनात शेतकऱ्यांचे जीवनमान उंचावण्यास हातभार लागेल व मदत होईल औषधी बनस्पती बदलचे ज्ञान व माहिती आपणाकडे फार पूर्वीपासून अवगत आहे. विविध रोग व व्याधींवर उपचार हे केवळ डॉक्टरलाच माहित नसून कित्येक लोकांना माहिती आहेत काही महत्वाचे रासायनिक द्रव्ये गोळया जैवप्रतिबंधात्मक औषधे बनविण्यासाठी कच्चा माल म्हणून औषधी वनस्पती हाच मुख्य स्रोत आहे. यासाठी औषधी वनस्पतीची लागवड करणारे आरोग्यतज्ञ आणि विविध औषधी कंपन्यांमध्ये मजबूत समन्वय असणे गरजेचे आहे एकात्मिक औषधी पीक पद्धती ही नैसर्गिक उत्पादन आणि कृत्रिम उत्पादने यांच्यावर आधारीत असून त्यापासून आपणास स्वस्त आणि परिणामकारक अशी औषधे उपलब्ध करून देता येऊ शकतील या सर्व गोष्टींचा विचार करता वरकस /पड जमिनींवर बहुस्तरीय वनौषधी लागवड निश्चितच किफायतशीर ठरणार आहे. किंबहुना उपलब्ध असणाऱ्या हजारो हेक्टर बरकस पडीक जमीन तसेच शेताचा बांध, नाला काठ यांचा योग्य वापर होईल त्यासाठी विविध परिस्थितीत वाढणाऱ्या वृक्ष, वेली, हंगामी बहुवर्षीय वनस्पती आणि झुडूप प्रकारातील वनस्पती निवडाव्यात, वृक्ष निवडतांना फार काळजी घ्यावी सदाहरीत लवकर वाढणारे, सावली उपलब्ध करून देणारे, भरपूर पाने असणारे असे वृक्ष निवडावेत, हे वृक्ष फक्त पावसावर वाढणारे, कमीतकमी रोग व किडींना बळी पडणारे असतात","Due to the diversity of environments found in various parts of our country, the presence of biodiversity is also significant, which can be considered a boon for our nation. As a result, various types of wild plants grow in different parts of the country, providing us with good quality plants. By taking advantage of all these factors and gaining knowledge about various medicinal plants, cultivating them can contribute to improving the living standards of farmers and help. We have long possessed knowledge and information about medicinal herbs. The treatment of various diseases and ailments is not only known to doctors but also to many people. Medicinal plants are the main source of raw materials for making certain important chemical substances, pills, and bioprotective drugs. For this, it is necessary to have a strong coordination between health experts and various pharmaceutical companies involved in cultivating medicinal plants. Integrated medicinal crop methods are based on natural production and artificial products, which can provide us with affordable and effective medicines. Considering all these factors, multi-level herbal cultivation on barren/waste lands will definitely be profitable. Moreover, thousands of hectares of available barren land, as well as farm bunds and canal banks, can be properly utilized. For this, trees, vines, seasonal perennial plants, and shrub-type plants that grow in various conditions should be selected. While selecting trees, great care should be taken to choose evergreen trees that grow quickly, provide shade, and have plenty of leaves. These trees are only rain-dependent and are prone to diseases and pests."
0605b6fd-e2dc-4589-ae43-2d91e55ccb34,krishi_darshani,13,41,3.154,खाजण काकड्ये ( मड क्रॅब) : गिराहिक मागणी वाजीसे बाजारूम खाजण काकड्ये जाखे,"खाजण खेकडा (मड क्रॅब) : ग्राहकांच्या मागणीमुळे निर्यात बाजारात खाजण खेकडा अत्यंत लोकप्रिय आहे. व्यावसायिक तत्त्वावर या खेकड्याची जोपासना करण्याचे प्रमाण आंध्र प्रदेश, तामळिनाडू, केरळ, कर्नाटक आण्ि गोवा या किनारपट्ट्यांवर शीघ्र गतीने वाढत आहे. महाराष्ट्रातील किनारपट्टीवर देखील त्याची सुरुवात झाली आहे.","Mud Crab: Due to customer demand, mud crab is extremely popular in the export market. The rate of commercial cultivation of this crab is increasing rapidly along the coasts of Andhra Pradesh, Tamil Nadu, Kerala, Karnataka, and Goa. It has also started on the coast of Maharashtra."
ab61bcba310e4f33942e35e1546fc5e7,general,6,19,3.167,15 पंधरा लाख लोकांना बारे केयो,स्थूल अंदाज दर्शवतात की सुमारे १५ लाख मुसलमानांनी फाळणीनंतरच्या दोन दशकांत पश्चिम बंगाल आणि बिहारमधून पूर्व बंगालमध्ये स्थलांतर केले.,Crude estimates suggest that about 1.5 million Muslims migrated from West Bengal and Bihar to East Bengal two decades after the partition.
42484388-58ac-4f8b-b3eb-687a544f11b2,krishi_darshani,5,16,3.2,तियाखातोर 8-10दिही पेला कातरू ली,४) त्यामुळे ८-१० दिवस आधी कापणी शक्य होऊन त्यानंतर येणाऱ्या पावसापासून होणारे ज्वारीचे नुकसान टाळता येईल.,"4) So the window for harvesting is 8–10 days, and then rain checks the damage of the sorghum."
20d6646967724a2396ffd3c3ba894c85,general,5,16,3.2,रानटी बदक आणि सारंख हाय,"येथे आढळणाऱ्या पक्ष्यांमध्ये युरेशियन वैष्णव, तलवार बदक, पट्टकादंब, कलहंस, रोहित, रानटी बदक आणि गॉलथ सारंग आहेत.","Among the birds spotted there are Eurasian wigeon, darter, parakeet, grebe, stork, flamingo, mallard and gallinule."
59436407d3564c8dab795866b6b4d578,general,4,13,3.25,फक्त गर्जे खर्च कहूँ.,"उदाहरणार्थ, तुम्ही अनवधानाने अतिखर्च करता, की तुम्ही सामाजिकदृष्ट्या करता? (फक्त मित्रांसमवेत बाहेर गेल्यावर?)","For example, do you overspend absentmindedly, or do you overspend socially (only when out with friends)?"
862b0856-aae5-4cc1-8525-994a29586f21,krishi_darshani,19,63,3.316,".सेंद्रीय भाता खेताम शाश्वत उत्पादन आर्थीक उत्पन्न आन . जमीनी सुपीकता हुदरवा केता अझोस्पिरिलम,पीएसबी आणि ट्रायकोडर्माची बिज प्रक्रिया केरुलो","१२. सेंद्रिय भात शेतीमध्ये शाश्वत उत्पादन, आर्थिक उत्पन्न आणि जमिनीची सुपिकता सुधारण्यासाठी रोपवाटिकेत अझोस्पिरिलम, पीएसबी आणि ट्रायकोडर्माची बीज प्रक्रिया करून ५ टन प्रति हेक्टर गांडूळ खतासोबत स्फुरदयुक्त सेंद्रिय खत (प्रॉम) २०० किलो प्रति हेक्टर मातीमध्ये मिसळून बोरू (ताग) या हिरवळीच्या खताची चिखलणी करण्याची आणि कीड व्यवस्थापनासाठी ट्रायकोकार्ड ५ कार्ड / हेक्टर ४ वेळा वापरावे तसेच ५ टक्के निंबोळी अर्क किंवा दशपर्णी २५० मि.ली.","12. In organic rice cultivation, to improve sustainable production, economic income, and soil fertility, process the seeds of Azospirillum, PSB, and Trichoderma in a nursery and mix 200 kg of phosphorus-containing organic fertilizer (PROAM) per hectare with 5 tons of vermicompost per hectare in the soil. Also, apply Boru (Jowar) green manure slurry and use Trichoderma 5 cards/hectare 4 times for pest management, as well as 5 percent neem extract or Dashparni 250 ml."
6c7a2dd7-c51b-4a10-bd97-e7ba40a979d0,krishi_darshani,9,30,3.333,रासायनिक खोतहा आरी हेक्टरी 10 किलो झिंक सल्फेट वऱ्हामे,रासायनिक खताबरोबर हेक्टरी १० किलो झिंक सल्फेट वर्षातून एकदा व ५ किलो बोरॅक्स ३ वर्षांतून एकदा द्यावा. पन्नास टक्के फुलोरावस्थेत उपलब्धतेनुसार हेक्टरी ३०० ते ५०० किलो जिप्सम दिल्यास उत्पादन वाढते.,"Along with chemical fertilizers, 10 kg of zinc sulfate per hectare should be applied once a year, and 5 kg of borax once every three years. Applying 300 to 500 kg of gypsum per hectare during the 50% flowering stage increases production."
539f4767-a2d3-44e6-b4bb-d55f26da5382,krishi_darshani,11,38,3.455,१०) प्रार्थना किटक:- ईया किडा हुबऱ्या बेनी पाग भक्ष टेरा मयूर,"१०) प्रार्थना किटक : ह्या किटकाचे समोरचे दोन्ही पाय भक्ष पकडण्यासाठी तोंडा समोर जोडून ठेवतात. त्यामुळे हा किटक हात जोडून प्रार्थना करत असल्याचे दिसते, म्हणून याला प्रार्थना किटक असे म्हणतात. हा किटक भुंगे, अळ्या, ढेकूण ई. किडींना खातात.","10) Prayer Bug: This insect has its front two legs joined together in front of its mouth to catch prey. As a result, this insect appears to be praying with its hands joined together, hence it is called a prayer bug. This insect feeds on insects like beetles, caterpillars, and mites."
817ed32cf41845da884b0e2f3b3187ee,general,8,28,3.5,उदा - तुम्हा मोबाईल सेवादेनारो तुमाहान कमी देनारो,"उदाहरणार्थ, तुमचा भ्रमणध्वनी सेवा प्रदाता तुम्हाला कमी दर देऊ शकतो जर तुम्ही त्यांच्या ग्राहक सेवा क्रमांकावर दूरध्वनी करून त्यांना सांगितले, की तुम्ही सेवा प्रदाता बदलण्याचा विचार करत आहात.","For example, your cell phone service provider may offer you a lower rate if you call their customer service line and tell them you're considering switching service providers."
3ba88d76816d48b1a686b3e99882bb10,general,8,28,3.5,तुमे बचत खातो जेहकी तेहकी राखा मदत केजा.,"तुमचे बचत खाते जसेच्या तसे राखण्यास मदत व्हावी, यासाठी त्याच्याकडे तो आपत्कालीन किंवा अनपेक्षित खर्चांसाठीचा पैसा आहे म्हणून पहा; बचत म्हणजे पैसे खर्च करण्यासाठीची मोठी साठवणूक समजू नका.","To help leave your savings account intact, view it as money for emergencies or for unexpected expenses; don't think of savings as a large reservoir of spending money."
41822346-52a2-4ca6-93bd-279aa43502ac,krishi_darshani,6,21,3.5,पेन आंतरराष्ट्रीय पातळीव त्याहा रूपांतर केरूलो,"परंतु आंतरराष्ट्रीय पातळीवर त्याचे रुपांतर करता येईल. एखाद्या संशोधनाबद्दल पेटंट मिळविण्यासाठी त्या व्यक्तीला खालील तीन अटी प्रथम पूर्ण कराव्या लागतात, जसे","However, it can be converted internationally. To obtain a patent for a research, the person must first fulfill the following three conditions, such as:"
