source_term,target_term,n_fired,n_helped,n_hurt,n_neutral,net_chrf_delta,avg_chrf_delta,example_file,example_idx,example_source,example_raw,example_final
छाटणी,आलूबुखारा,8,0,8,0,-134.715,-16.8394,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,962,सर्वसाधारन तिसध्या वाढी ढागी छाटणी कोनु.,सर्वसाधारपणे तिसध्या वाढीच्या फांदयांची छाटणी करावी.,सर्वसाधारपणे तिसध्या वाढीच्या फांदयांची आलूबुखारा करावी.
खारफुटी,कांदळवन,12,0,12,0,-127.283,-10.6069,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,607,केंद्र पाडाम जिल्ह्यामने भीतरी किंवा राष्ट्रीय उद्यान 650 चौकीमी व्याप्ती ते हमने 150 चौकी मी खारफुटी जागा हाय.,केंद्रपाड जिल्हा मधील भीतर किंवा राष्ट्रीय उद्यानाचे ६५० चौ.मी. व्याप्ती ते १५० चौ.मी. खारफुटीचे क्षेत्र आहे.,केंद्रपाड जिल्हा मधील भीतर किंवा राष्ट्रीय उद्यानाचे ६५० चौ.मी. व्याप्ती ते १५० चौ.मी. कांदळवनचे क्षेत्र आहे.
काढणी,कापणी,30,0,30,0,-123.287,-4.1096,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,533,संगोपनगृहा म परोपजिवी कीटक सोडनु पध्दत रेशीम कीटका वाढी ५ व्या अवस्थे म म्हणजे चौथी कात अवस्था संपल्या नतंर ३ या ते ५ व्या दिवसा पर्यत २ पाऊच निसोलयनेक्स परोपजिवी कीटक प्रति १०० अंडिपूज या प्रमाणा म थोवनु कोष काढणी नतंर पाऊच खता खड्या पाहि,संगोपनगृहात परोपजिवी कीटक सोडण्याची पध्दत रेशीम कीटकाच्या वाढीच्या ५ व्या अवस्थेत म्हणजेच चौथी कात अवस्था संपल्यानंतर ३ या ते ५ व्या दिवशी पर्यंत २ पाऊच निसोलयनेक्स परोपजिवी कीटक प्रति १०० अंड्यावर या प्रमाणात सोडावेत कोष काढणी नंतर पाऊच खताच्या खड्याजवळ,संगोपनगृहात परोपजिवी कीटक सोडण्याची पध्दत रेशीम कीटकाच्या वाढीच्या ५ व्या अवस्थेत म्हणजेच चौथी कात अवस्था संपल्यानंतर ३ या ते ५ व्या दिवशी पर्यंत २ पाऊच निसोलयनेक्स परोपजिवी कीटक प्रति १०० अंड्यावर या प्रमाणात सोडावेत कोष कापणी नंतर पाऊच खताच्या खड्याजवळ
पेरणी,ओनू,60,16,44,0,-121.683,-2.0281,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,892,"महाराष्ट- ातील गव्हाचे कमी उत्पादन येण्याची कारणे म्हणजे कोरडवाहू गव्हाची लागवड, गहू लागवडीसाठी हलक्या जमिनीचा वापर, पाणीपुरवठा पीक अवस्थेनुसार न करणे, सुधारित वाणांचा वापर न करणे, पीक वाढीच्या अवस्थेत तापमानात वारंवार होणारे बदल, पीक संरक्षणाचा अभाव, मशागत तंत्रज्ञानाचा अवलंब न करणे आणि गव्हाची उशिरा पेरणी करणे ही आहेत.","महाराष्ट्राम गहू कमी उत्पादन आवुला कारणे म्हणजे कोरडवाहू गहू लागवड, गहू लागवडी खातोर ओलक्या जमिनी वापर, पायपुरवठा पीक अवस्थेनुसार न केनु, सुधारित वाणांचा वापर न केनु, पीक वाढी अवस्थेत तापमानाम घेडी घेडी वेणारे बदल, पीक संरक्षणाचा अभाव, मशागत तंत्रज्ञानाचा अवलंब न केनु आण गहू उशिरा पेरणी केनु ई हाय","महाराष्ट्राम गोव कमी उत्पादन आवुला कारणे म्हणजे कोरडवाहू गोव लागवड, गोव लागवडी खातोर ओलक्या जमिनी वापर, पायपुरवठा पीक अवस्थेनुसार न केनु, सुधारित वाणांचा वापर न केनु, पीक वाढी अवस्थेत तापमानाम घेडी घेडी वेणारे बदल, पीक संरक्षणाचा अभाव, खेडनूं तंत्रज्ञानाचा अवलंब न केनु आण गोव उशिरा ओनू केनु ई हाय"
रोप,रोपे,12,0,12,0,-103.41,-8.6175,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,565,आंतरमशागत: पेरणीनंतर १० ते १५ दिवसांनी विरळणी करून एका ठिकाणी एकच रोप ठेवावे.,आंतरमशागत: पोणी नंतर 10 ते 15 दिहुम विरळणी कीन योक ठिकाणी योक रोप ठेवुलो.,आंतरसांस्कृतिक कार्य: पोणी नंतर 10 ते 15 दिहुम विरळणी कीन योक ठिकाणी योक रोपे ठेवुलो.
प्रतिबंधक,प्रतिकर्षक,12,0,12,0,-103.031,-8.5859,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,986,रोज वेगरयो गोठो साफ किन जनावरांन गोचीड प्रतिबंधक औषध फोवारणी केरूला आवश्यक आही,दररोज सकाळी गोठा स्वच्छ करून जनावरांना गोचीड प्रतिबंधक औषध फवारणे आवश्यक आहे.,दररोज सकाळी गोठा स्वच्छ करून जनावरांना गोचीड प्रतिकर्षक औषध फवारणे आवश्यक आहे.
करपा,ब्लाईट,12,0,12,0,-101.663,-8.4719,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,594,शहादा तालुकाम हियालाम वाद तुवरो पोड्यो का मुंगा पिकापे करपा रोगू प्रादुर्भाव वी शकेहे,शहादा तालुक्यात थंडीच्या लाटेमुळे पडलेल्या तुवरम म्हणजे धुक्यामुळे मोंगा पिकावर करपा रोगाचा प्रादुर्भाव होऊ शकतो.,शहादा तालुक्यात थंडीच्या लाटेमुळे पडलेल्या तुवरम म्हणजे धुक्यामुळे मोंगा पिकावर ब्लाईट रोगाचा प्रादुर्भाव होऊ शकतो.
परिस्थिती,परिचिती,12,0,12,0,-100.319,-8.3599,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,383,ही एका बदलत्या राजकीय एकजुटीची परिस्थिती असल्याचे टॅलबॉटचे स्पष्टीकरण आहे.,इ एका बदलत्या राजकीय एकजुटी परिस्थिती हाय टॅलबॉट ईया स्पष्टीकरण हाय.,इ एका बदलत्या राजकीय एकजुटी परिचिती हाय टॅलबॉट ईया स्पष्टीकरण हाय.
तृणधान्य,धान्य,18,0,18,0,-97.985,-5.4436,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,890,"खत व्यवस्थापन : वरी पिकाकरीता 40:20:20 कि.ग्रॅ/हेक्टर या मात्रेमध्ये नत्रःस्फुरदःपालाश देण्याची भारतीय तृणधान्य संशोधन संस्था, हैदराबाद मार्फत सांगण्यात आलेली आहे.","खत व्यवस्थापन : वरी पिकाकेता 40:20:20 कि.ग्रॅ/हेक्टर या मात्रेम नत्रःस्फुरदःपालाश देवनु भारतीय तृणधान्य संशोधन संस्था, हैदराबाद मार्फत आखलो हाय.","खत व्यवस्थापन : वरी पिकाकेता 40:20:20 कि.ग्रॅ/हेक्टर या मात्रेम नत्रःस्फुरदःपालाश देवनु भारतीय धान्य संशोधन संस्था, हैदराबाद मार्फत आखलो हाय."
छाटणी,फांद्या,14,0,14,0,-95.874,-6.8482,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,176,दर एक फुटावर एक याप्रमाणे खोडाच्या सर्व बाजूला फुटवे ठेवून इतर फुटवे काढून टाकावेत छाटणी केलेल्या झाडांची वाढ खूप जोमदार असल्यास सहा महिन्यांपर्यंत देखील विरळणी करावी लागते.,दर एक फुटावे एक याप्रमाणे खोडा आखेज बाजूमे फुटवे थोविन बिजा फुटवे काडी टाकानू छाटणी केनू झाडाहां वाढ खूप जोमदार रियी तियाल सहा मोयना लूग बी विरळणी केरां पोडहे.,दर एक फुटावे एक याप्रमाणे खोडा आखेज बाजूमे फुटवे थोविन बिजा फुटवे काडी टाकानू फांद्या केनू झाडाहां वाढ खूप जोमदार रियी तियाल सहा मोयना लूग बी विरळणी केरां पोडहे.
मात्रा,डोस,24,0,24,0,-95.555,-3.9815,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,464,"8. सर्गिक वायुविजन पॉलीहाऊसाम लाल कोबी पिका (ऑगस्ट पुर्नलागवड) अधिक उत्पादन, पांया वापर क्षमता आणे आर्थिक फायदो मिला खातोर रोज ठिबक सिंचनामेने पीक बाष्पपर्णोत्सर्जना ९० टक्के पांय आन १२५ टक्के शिफारश केलें घुलणारे खत मात्रा पुर्नलागवडी १० दिहाकी (१००:५०:५० कि./हे. नत्र स्फुरदः पालाश) ५० दा एक एक दिहाकी देवनु शिफारस केली हाय.","8. सर्गिक वायुविजन पॉलीहाऊसमध्ये लाल कोबी पिकाचे (ऑगस्ट पुर्नलागवड) अधिक उत्पादन, पाणी वापर क्षमता व आर्थिक फायदा मिळविण्यासाठी दररोज ठिबक सिंचनातून पीक बाष्पपर्णोत्सर्जनाच्या ९० टक्के पाणी व १२५ टक्के शिफारसीत विद्राव्य खतांची मात्रा पुर्नलागवडीच्या १० दिवसांनी (१००:५०:५० कि./हे. नत्र स्फुरदः पालाश) ५० वेळा एक दिवसाआड देण्याची शिफारस करण्यात येत आहे.","8. सर्गिक वायुविजन पॉलीहाऊसमध्ये लाल कोबी पिकाचे (ऑगस्ट पुर्नलागवड) अधिक उत्पादन, पाणी वापर क्षमता व आर्थिक फायदा मिळविण्यासाठी दररोज ठिबक सिंचनातून पीक बाष्पपर्णोत्सर्जनाच्या ९० टक्के पाणी व १२५ टक्के शिफारसीत विद्राव्य खतांची डोस पुर्नलागवडीच्या १० दिवसांनी (१००:५०:५० कि./हे. नत्र स्फुरदः पालाश) ५० वेळा एक दिवसाआड देण्याची शिफारस करण्यात येत आहे."
खाद्य,खाऊलो,18,6,12,0,-95.455,-5.303,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,705,"खाद्य, खते, औषधे, मत्स्यबीज व वाहतुक यासाठी अनुदान मिळते.","खाद्य, खते, औषधे, मत्स्यबीज व वाहतुक याखातर अनुदान मिळहे.","खाऊलो, खते, औषधे, मत्स्यबीज व वाहतुक याखातर अनुदान मिळहे."
खड्डा,चर खोदणे,12,0,12,0,-94.721,-7.8934,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,585,"हेवाया खोता उत्पादन चार पध्दतीकी उदा. कुंडी पध्दत, टाकी पध्दत, खड्डा पध्दत अन फाथारी पध्दतीकि केतेहे . शेतकऱ्यांहा खेताम मोडा प्रमाणाव हेवायाहा खोत तीयार केनू खड्डा पध्दत हारी हाय.","गांडुळ खताचे उत्पादन चार पध्दतीने घेतले जाते उदा. कुंडी पध्दत, टाकी पध्दत, खड्डा पध्दत आणि फाथारी पध्दती. शेतकऱ्यांच्या शेतावर मोठ्या प्रमाणावर गांडुळ खत तयार करण्यासाठी खड्डा पध्दत उत्तम आहे.","गांडुळ खताचे उत्पादन चार पध्दतीने घेतले जाते उदा. कुंडी पध्दत, टाकी पध्दत, चर खोदणे पध्दत आणि फाथारी पध्दती. शेतकऱ्यांच्या शेतावर मोठ्या प्रमाणावर गांडुळ खत तयार करण्यासाठी चर खोदणे पध्दत उत्तम आहे."
मावा,खवा,18,0,18,0,-94.228,-5.2349,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,885,तुवी विकुपे मावा आन तुडतुडे देखाहे तर ५ टक्के निंबोळी अर्का फवारणी केरा .,तूर पिकावर मावा आणि तुडतुडे दिसल्यास ५ टक्के निंबोळी अर्काची फवारणी करावी.,तूर पिकावर खवा आणि तुडतुडे दिसल्यास ५ टक्के निंबोळी अर्काची फवारणी करावी.
लस,लसीकरण,24,0,24,0,-92.935,-3.8723,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,840,गाईंना लाळ्या खुरकूतची लस दिल्यानंतर किमान २ आठवडे त्यांच्या प्रकृतीवर लक्ष ठेवणे गरजेचे आहे.,गावडीहन खुऱ्या इया लस देदी का 2 आठूड्या तिया आरोग्याप ध्यान देवणू जरूरी हाय,गावडीहन खुऱ्या इया लसीकरण देदी का 2 आठूड्या तिया आरोग्याप ध्यान देवणू जरूरी हाय
झिंक,जस्त,12,0,12,0,-92.486,-7.7072,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,721,इया योजनाम देख शेतकऱ्यांहान कीटकनाशक आन जिंक झिंक सल्फेटू होच सूक्ष्म अन्नद्रव्य वेचाते ल्या केता 50 टक्के सवलत मिलहे,या योजनेतून शेतकऱ्यांना कीटकनाशके आणि झिंक सल्फेटसारखी सूक्ष्म अन्नद्रव्ये खरेदी करण्यासाठी ५० टक्के सबसिडी मिळते.,या योजनेतून शेतकऱ्यांना कीटकनाशके आणि जस्त सल्फेटसारखी सूक्ष्म मूलद्रव्येे खरेदी करण्यासाठी ५० टक्के सबसिडी मिळते.
सुधारणा,पुनर्प्राप्ती,12,0,12,0,-87.292,-7.2744,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,943,नव्या राज्याचा समावेश करण्यासाठी भारतीय संसदेने भारतीय संविधानात सुधारणा केली.,नव्या राज्या समावेश केरा खातर भारता संसदेने भारतीय संविधानाम सुधारणा केयीही.,नव्या राज्या समावेश केरा खातर भारता संसदेने भारतीय संविधानाम पुनर्प्राप्ती केयीही.
कॅल्शियम,कॅल्सीयम,24,0,24,0,-85.729,-3.572,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,851,कोंबड्यांमध्ये अंडी उत्पादन वाढवण्यासाठी ब्रॉयलर खाद्यात योग्य प्रमाणात कॅल्शियम मिसळा.,कुकडाम हाकवे उत्पादन वादवा खातोर बायलोर खाद्य हारो प्रमाणम कॅल्शियम मिलवुनू.,कुकडाम हाकवे उत्पादन वादवा खातोर बायलोर खाद्य हारो प्रमाणम कॅल्सीयम मिलवुनू.
करपा,स्फोट,22,0,22,0,-79.731,-3.6241,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,978,"१. कापूस : व्हर्टीसीलीअम बुरशीची मर, फ्युजारिअम बुरशीची मर, काळा करपा, मूळकुजवा, खोडावरील करपा, रोग कोलमडणे, जिवाणूंचा करपा,","१. कापूस : व्हर्टीसीलीअम बुरशीही मर, फ्युजारिअम बुरशीही मर, काळा करपा, मूळकुजवा, खोडावरील करपा, रोग कोलमडणे, जिवाणूं करपा,","१. कपाशी : व्हर्टीसीलीअम बुरशीही मर, फ्युजारिअम बुरशीही मर, काळा स्फोट, मूळकुजवा, खोडावरील स्फोट, रोग कोलमडणे, जिवाणूं स्फोट,"
आकडेवारी,मार्गदर्शक,6,0,6,0,-78.701,-13.1168,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,417,"२००७ तू आकडेवारी नुसार, सिंधू त्रिभुज प्रदेशामने खारफुटी ई वाळवंटी हवामानूमने जगूमने बाठामने मोडी खारफुटी जंगले हाय.","२००७ च्या आकडेवारीनुसार, सिंधूच्या त्रिभुज प्रदेशातील खारफुटी ही वाळवंटी हवामानातील जगातील सर्वात मोठी खारफुटीची जंगले आहेत.","२००७ च्या मार्गदर्शकनुसार, सिंधूच्या त्रिभुज प्रदेशातील कांदळवन ही वाळवंटी हवामानातील जगातील सर्वात मोठी कांदळवनची जंगले आहेत."
नमुना,मल नमुना,12,0,12,0,-74.062,-6.1718,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,560,१) प्रतिनिधिक मातीचा नमुना एहकी लेवणू :,१) प्रातिनिधिक मातीचा नमुना असा घ्यावा :,१) प्रातिनिधिक मातीचा मल नमुना असा घ्यावा :
दाणे,गर,20,0,20,0,-73.959,-3.6979,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,719,"रोगाचा प्रादुर्भाव झाल्यास शेंगा पूर्णपणे भरत नाहीत. दाणे पोचट राहतात, दाण्याच्या पृष्ठभागावर सुरकुत्या आढळून येतात आणि उत्पादनात मोठी घट येते.","रोगा प्रादुर्भाव व्हेयो ता हेंग्या पुरा पोर्याता नाहा. दाणे पोचट रेतेहे, दानाहा उचे उचे सुरकुत्या पडत्याहा आण उत्पादनाम मोडी घट आवेहे.","रोगा प्रादुर्भाव व्हेयो ता हेंग्या पुरा पोर्याता नाहा. गर पोचट रेतेहे, दानाहा उचे उचे सुरकुत्या पडत्याहा आण उत्पादनाम मोडी घट आवेहे."
दुष्काळ,काल,6,0,6,0,-70.644,-11.7739,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,681,"मात्र, नैसर्गिक आपत्तींमुळे मोठ्या प्रमाणात दुष्काळ पडल्याच्या बातम्या होत्या.","मात्र, नैसर्गिक आपत्तींकी मोड्या प्रमाणाम दुष्काळ पडल्या बातम्या आथ्या.","मात्र, नैसर्गिक आपत्तींकी मोड्या प्रमाणाम काल पडल्या बातम्या आथ्या."
तापमान,तोप,42,9,33,0,-70.149,-1.6702,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,932,"शहादा तालुक्यात पुढील ३ दिवस तापमान ३८ अंश सेल्सिअस राहील, त्यामुळे पेंडी पिकाला वेळेवर पाणी द्या.",शहादा तालुकाम आवता 3 दिही तापमान 38 अंश सेल्सीअस रि तिहाल पेंडहाल टायमुप पाय दया,शहादा तालुकाम आवता 3 दिही तोप 38 अंश सेल्सीअस रि तिहाल पेंडहाल टायमुप पाय दया
पेंढा,कोंडा,6,0,6,0,-69.498,-11.583,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,830,"मुंयाव भाता सुका पेंढा, गोवत दाबीन लावन्यू आण्ाि झाकण लागवी लेव्न्यू","तोंडात भाताचा सुका पेंढा, गवत दाबून लावावे आणि त्यावर झाकण पसरून घ्यावे.","तोंडात भाताचा सुका कोंडा, गवत दाबून लावावे आणि त्यावर झाकण पसरून घ्यावे."
सूचना,नोटीस,11,0,11,0,-69.231,-6.2937,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,621,गीर गाईच्या संवर्धनासाठी राज्य शासनाने नुकतीच एक विशेष मार्गदर्शक सूचना काढली आहे.,गीर गावडी पालनू खातोर राज्य सरकाराहांय आमीज एक खास  मार्गादर्शक सूचना काडी का.,गीर गावडी पालनू खातोर राज्य सरकाराहांय आमीज एक खास  मार्गादर्शक नोटीस काडी का.
कीटकनाशके,किड़े मानू दावो,10,0,10,0,-67.296,-6.7296,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,721,या योजनेतून शेतकऱ्यांना कीटकनाशके आणि झिंक सल्फेट सारखी सूक्ष्म अन्नद्रव्ये खरेदी करण्यासाठी ५० टक्के सवलत मिळते.,या योजनामने शेतकऱ्यांहान कीटकनाशके आन झिंक सल्फेट सारखे सूक्ष्म अन्नद्रव्ये खरेदी केराखातोर ५० टक्के सवलत मिलेहे.,या योजनामने शेतकऱ्यांहान किड़े मानू दावो आन झिंक सल्फेट सारखे खूब कमी प्रमाणाम घटक खरेदी केराखातोर ५० टक्के सवलत मिलेहे.
कपाशी,कापूस,12,0,12,0,-66.633,-5.5528,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,720,कोरडी(संरक्षक ओलित): कपाशी पीक फुलावय आणे बोंडे पोनु आले का पाय कमी पोडयो का आणे पाणी देवनु हारी सोय वेरि १०-१२ दिवसा अंतराम २-३ संरक्षक पीजवुनु,तुषार (संरक्षक ओलीत): कपाशीचे पीक फुलावर आणि बोंडे भरण्यावर असताना पाण्याचा ताण पडल्यास व पाणी देण्याची सोय असल्यास १०-१२ दिवसांच्या अंतराने २-३ संरक्षक ओलीत करावे.,तुषार (संरक्षक (preservatives) ओलीत): कापूसचे पीक फुलावर आणि बोंडे भरण्यावर असताना पाण्याचा ताण पडल्यास व पाणी देण्याची सोय असल्यास १०-१२ दिवसांच्या अंतराने २-३ संरक्षक (preservatives) ओलीत करावे.
केले,केळी,10,0,10,0,-64.823,-6.4823,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,632,"आथाकी तियार केले, खास कीने विअला सुती फाडका, लाकडा वेने कोरलो काम आंन वाहटाकीने तियार केले इ राज्य फेमस हाय.","हाताने तयार केलेले, विशेषतः विळ्याचे सुती कापड, लाकडापासूनचे कोरीव काम आणि बांबूपासून तयार केलेले हे राज्य फेमस आहे.","हाताने तयार केळीले, विशेषतः विळ्याचे सुती कापड, लाकडापासूनचे कोरीव काम आणि बांबूपासून तयार केळीले हे राज्य फेमस आहे."
बिछाना,थाट,6,0,6,0,-64.379,-10.7298,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,835,बिछाना पद्धत:-पाथारी होच फातनू (3 मीटर लांब आणे 2 मीटर रुंद आणे 0.60 मीटर निचे ),बिछाना पद्धत : जमिनीवरच अंथरूण (३ मीटर लांब x २ मीटर रुंद व ०.६० मीटर खोल),थाट पद्धत : जमिनीवरच अंथरूण (३ मीटर लांब x २ मीटर रुंद व ०.६० मीटर खोल)
